                  authorA	                  authorB	        authorC	Sup(A,B,C)	Sup(A)	Sup(B)	Sup(C)	Con(A)	Con(B)	Con(C)	MinCon	MaxCon
                Hongli Xu	           Liusheng Huang	               	       170	   218	   408	     0	0.7798	0.4167	0.0000	0.4167	0.7798
         Hiroshi G. Okuno	            Tetsuya Ogata	               	       170	   380	   301	     0	0.4474	0.5648	0.0000	0.4474	0.5648
                Insup Lee	            Oleg Sokolsky	               	       169	   414	   210	     0	0.4082	0.8048	0.0000	0.4082	0.8048
             Hajime Asama	        Atsushi Yamashita	               	       169	   356	   219	     0	0.4747	0.7717	0.0000	0.4747	0.7717
           Shu-Ching Chen	            Mei-Ling Shyu	               	       169	   319	   257	     0	0.5298	0.6576	0.0000	0.5298	0.6576
        Hiroshi Kawaguchi	       Masahiko Yoshimoto	               	       168	   195	   186	     0	0.8615	0.9032	0.0000	0.8615	0.9032
              Luc Martens	              Wout Joseph	               	       167	   217	   203	     0	0.7696	0.8227	0.0000	0.7696	0.8227
            Bo Cheng 0001	            Junliang Chen	               	       167	   203	   324	     0	0.8227	0.5154	0.0000	0.5154	0.8227
            Jie Zhou 0001	                 Jiwen Lu	               	       167	   312	   309	     0	0.5353	0.5405	0.0000	0.5353	0.5405
      Patrick Girard 0001	           Arnaud Virazel	               	       166	   251	   169	     0	0.6614	0.9822	0.0000	0.6614	0.9822
             Simon Denman	           Clinton Fookes	               	       165	   178	   303	     0	0.9270	0.5446	0.0000	0.5446	0.9270
            Takuji Narumi	         Michitaka Hirose	               	       165	   180	   353	     0	0.9167	0.4674	0.0000	0.4674	0.9167
             Dacheng Yang	           Xin Zhang 0001	               	       165	   355	   205	     0	0.4648	0.8049	0.0000	0.4648	0.8049
        Ronald M. Summers	              Jianhua Yao	               	       164	   345	   241	     0	0.4754	0.6805	0.0000	0.4754	0.6805
          Keikichi Hirose	        Nobuaki Minematsu	               	       162	   294	   252	     0	0.5510	0.6429	0.0000	0.5510	0.6429
              Mei Yu 0001	             Gangyi Jiang	               	       161	   165	   219	     0	0.9758	0.7352	0.0000	0.7352	0.9758
          Fosca Giannotti	           Dino Pedreschi	               	       161	   251	   255	     0	0.6414	0.6314	0.0000	0.6314	0.6414
           Rainer Leupers	             Gerd Ascheid	               	       160	   271	   377	     0	0.5904	0.4244	0.0000	0.4244	0.5904
     Edwin Hsing-Mean Sha	           Qingfeng Zhuge	               	       158	   389	   179	     0	0.4062	0.8827	0.0000	0.4062	0.8827
                Huawei Li	          Xiaowei Li 0001	               	       158	   216	   350	     0	0.7315	0.4514	0.0000	0.4514	0.7315
      Eugenio Di Sciascio	          Tommaso Di Noia	               	       158	   278	   243	     0	0.5683	0.6502	0.0000	0.5683	0.6502
         Manoj Singh Gaur	              Vijay Laxmi	               	       157	   195	   169	     0	0.8051	0.9290	0.0000	0.8051	0.9290
             Hideo Bannai	          Masayuki Takeda	               	       157	   225	   241	     0	0.6978	0.6515	0.0000	0.6515	0.6978
           Stefano Tubaro	            Augusto Sarti	               	       156	   335	   241	     0	0.4657	0.6473	0.0000	0.4657	0.6473
        Juan Manuel Grriz	       Javier Ramrez 0001	               	       155	   189	   228	     0	0.8201	0.6798	0.0000	0.6798	0.8201
             Pl Halvorsen	          Carsten Griwodz	               	       155	   263	   214	     0	0.5894	0.7243	0.0000	0.5894	0.7243
             Antonio Iera	       Antonella Molinaro	               	       155	   237	   271	     0	0.6540	0.5720	0.0000	0.5720	0.6540
           Roman Senkerik	          Michal Pluhacek	               	       154	   229	   158	     0	0.6725	0.9747	0.0000	0.6725	0.9747
             Juan de Lara	            Esther Guerra	               	       154	   253	   161	     0	0.6087	0.9565	0.0000	0.6087	0.9565
        Jordi Prez-Romero	            Oriol Sallent	               	       154	   196	   185	     0	0.7857	0.8324	0.0000	0.7857	0.8324
        Andrea Passarella	              Marco Conti	               	       154	   198	   366	     0	0.7778	0.4208	0.0000	0.4208	0.7778
          Sylvain Guilley	          Jean-Luc Danger	               	       154	   285	   212	     0	0.5404	0.7264	0.0000	0.5404	0.7264
          Katsuhiro Honda	              Akira Notsu	               	       153	   197	   156	     0	0.7766	0.9808	0.0000	0.7766	0.9808
 Andrea C. Arpaci-Dusseau	  Remzi H. Arpaci-Dusseau	               	       153	   162	   163	     0	0.9444	0.9387	0.0000	0.9387	0.9444
  Narayanan Vijaykrishnan	          Mary Jane Irwin	               	       153	   250	   359	     0	0.6120	0.4262	0.0000	0.4262	0.6120
              Shingo Mabu	          Kotaro Hirasawa	               	       151	   188	   266	     0	0.8032	0.5677	0.0000	0.5677	0.8032
        Farokh B. Bastani	               I-Ling Yen	               	       151	   212	   228	     0	0.7123	0.6623	0.0000	0.6623	0.7123
            Xiangming Wen	              Zhaoming Lu	               	       150	   209	   159	     0	0.7177	0.9434	0.0000	0.7177	0.9434
           Gianluca Setti	         Riccardo Rovatti	               	       150	   187	   178	     0	0.8021	0.8427	0.0000	0.8021	0.8427
           Xiaojiang Chen	              Dingyi Fang	               	       150	   178	   194	     0	0.8427	0.7732	0.0000	0.7732	0.8427
                Wynne Hsu	              Mong-Li Lee	               	       150	   193	   213	     0	0.7772	0.7042	0.0000	0.7042	0.7772
