                  authorA	                  authorB	        authorC	Sup(A,B,C)	Sup(A)	Sup(B)	Sup(C)	Con(A)	Con(B)	Con(C)	MinCon	MaxCon
                    22249	                    22250	               	       214	   248	   333	     0	\0.8629	0.6426	0.0000	0.6426	0.8629
                    14529	                    14497	               	       212	   220	   418	     0	\0.9636	0.5072	0.0000	0.5072	0.9636
                    12271	                    12270	               	       212	   238	   493	     0	\0.8908	0.4300	0.0000	0.4300	0.8908
                     9818	                    51412	               	       210	   239	   264	     0	\0.8787	0.7955	0.0000	0.7955	0.8787
                    16021	                    15494	               	       208	   235	   316	     0	\0.8851	0.6582	0.0000	0.6582	0.8851
                    67235	                    67239	               	       208	   246	   247	     0	\0.8455	0.8421	0.0000	0.8421	0.8455
                    73140	                    71389	               	       208	   349	   354	     0	\0.5960	0.5876	0.0000	0.5876	0.5960
                   209429	                   203302	               	       207	   253	   233	     0	\0.8182	0.8884	0.0000	0.8182	0.8884
                   209429	                   203302	         203303	       206	   253	   233	   257	\0.8142	0.8841	0.8016	0.8016	0.8841
                   252605	                    34319	               	       204	   319	   389	     0	\0.6395	0.5244	0.0000	0.5244	0.6395
                    67235	                    67239	          67240	       202	   246	   247	   251	\0.8211	0.8178	0.8048	0.8048	0.8211
                     6018	                     6019	               	       201	   243	   202	     0	\0.8272	0.9950	0.0000	0.8272	0.9950
                    79724	                   104388	               	       199	   370	   237	     0	\0.5378	0.8397	0.0000	0.5378	0.8397
                      415	                    11238	               	       199	   439	   288	     0	\0.4533	0.6910	0.0000	0.4533	0.6910
                    22188	                    73071	               	       194	   286	   220	     0	\0.6783	0.8818	0.0000	0.6783	0.8818
                   144237	                   144236	               	       194	   347	   280	     0	\0.5591	0.6929	0.0000	0.5591	0.6929
                   432515	                   432022	               	       192	   351	   338	     0	\0.5470	0.5680	0.0000	0.5470	0.5680
                   244580	                    16273	               	       190	   215	   376	     0	\0.8837	0.5053	0.0000	0.5053	0.8837
                   203388	                   148733	               	       190	   447	   294	     0	\0.4251	0.6463	0.0000	0.4251	0.6463
                      669	                      668	               	       189	   192	   280	     0	\0.9844	0.6750	0.0000	0.6750	0.9844
                   431240	                   316314	               	       188	   192	   353	     0	\0.9792	0.5326	0.0000	0.5326	0.9792
                    48207	                    48209	               	       188	   248	   242	     0	\0.7581	0.7769	0.0000	0.7581	0.7769
                    67954	                   110315	               	       185	   447	   215	     0	\0.4139	0.8605	0.0000	0.4139	0.8605
                   161015	                   161016	               	       184	   201	   230	     0	\0.9154	0.8000	0.0000	0.8000	0.9154
                      427	                      451	               	       184	   270	   221	     0	\0.6815	0.8326	0.0000	0.6815	0.8326
                      284	                    94280	               	       183	   226	   201	     0	\0.8097	0.9104	0.0000	0.8097	0.9104
                   223308	                   276125	               	       183	   215	   232	     0	\0.8512	0.7888	0.0000	0.7888	0.8512
                     6584	                     6583	               	       180	   260	   426	     0	\0.6923	0.4225	0.0000	0.4225	0.6923
                     7142	                    13861	               	       177	   314	   227	     0	\0.5637	0.7797	0.0000	0.5637	0.7797
                   116967	                   105849	               	       176	   216	   201	     0	\0.8148	0.8756	0.0000	0.8148	0.8756
                   195454	                    87092	               	       175	   348	   201	     0	\0.5029	0.8706	0.0000	0.5029	0.8706
                   188048	                   139345	               	       175	   376	   272	     0	\0.4654	0.6434	0.0000	0.4654	0.6434
                   127805	                   127806	               	       174	   196	   180	     0	\0.8878	0.9667	0.0000	0.8878	0.9667
                    67733	                    67737	               	       174	   192	   282	     0	\0.9062	0.6170	0.0000	0.6170	0.9062
                   252220	                   252221	               	       174	   240	   202	     0	\0.7250	0.8614	0.0000	0.7250	0.8614
                    23765	                    23770	               	       173	   297	   244	     0	\0.5825	0.7090	0.0000	0.5825	0.7090
                    13898	                   159834	               	       172	   225	   249	     0	\0.7644	0.6908	0.0000	0.6908	0.7644
                     3907	                     3904	               	       171	   195	   347	     0	\0.8769	0.4928	0.0000	0.4928	0.8769
                    45221	                    45624	               	       171	   200	   216	     0	\0.8550	0.7917	0.0000	0.7917	0.8550
                    13628	                   159834	               	       171	   241	   249	     0	\0.7095	0.6867	0.0000	0.6867	0.7095
                    74570	                    75692	               	       170	   407	   179	     0	\0.4177	0.9497	0.0000	0.4177	0.9497
                    15646	                   517229	               	       170	   412	   195	     0	\0.4126	0.8718	0.0000	0.4126	0.8718
                   153697	                    78209	               	       170	   218	   408	     0	\0.7798	0.4167	0.0000	0.4167	0.7798
                   253721	                   253722	               	       170	   301	   380	     0	\0.5648	0.4474	0.0000	0.4474	0.5648
                     6708	                     5831	               	       169	   210	   414	     0	\0.8048	0.4082	0.0000	0.4082	0.8048
                    32744	                    32745	               	       169	   219	   356	     0	\0.7717	0.4747	0.0000	0.4747	0.7717
                    22932	                    23254	               	       169	   257	   319	     0	\0.6576	0.5298	0.0000	0.5298	0.6576
                   160971	                   161162	               	       168	   186	   195	     0	\0.9032	0.8615	0.0000	0.8615	0.9032
                    73433	                    12536	               	       167	   203	   217	     0	\0.8227	0.7696	0.0000	0.7696	0.8227
                    77151	                    77149	               	       167	   324	   203	     0	\0.5154	0.8227	0.0000	0.5154	0.8227
                    85199	                    23882	               	       167	   312	   309	     0	\0.5353	0.5405	0.0000	0.5353	0.5405
                   515250	                   652146	               	       166	   251	   169	     0	\0.6614	0.9822	0.0000	0.6614	0.9822
                    23682	                    23680	               	       165	   303	   178	     0	\0.5446	0.9270	0.0000	0.5446	0.9270
                   843278	                   316314	               	       165	   180	   353	     0	\0.9167	0.4674	0.0000	0.4674	0.9167
                    83052	                   530470	               	       165	   355	   205	     0	\0.4648	0.8049	0.0000	0.4648	0.8049
                   229515	                   229517	               	       164	   345	   241	     0	\0.4754	0.6805	0.0000	0.4754	0.6805
                   568176	                   457955	               	       162	   252	   294	     0	\0.6429	0.5510	0.0000	0.5510	0.6429
                   215034	                   384333	               	       161	   219	   165	     0	\0.7352	0.9758	0.0000	0.7352	0.9758
                    12447	                    15393	               	       161	   255	   251	     0	\0.6314	0.6414	0.0000	0.6314	0.6414
                     7486	                    51613	               	       160	   271	   377	     0	\0.5904	0.4244	0.0000	0.4244	0.5904
                    51366	                    51369	               	       158	   179	   389	     0	\0.8827	0.4062	0.0000	0.4062	0.8827
                   153268	                   514624	               	       158	   350	   216	     0	\0.4514	0.7315	0.0000	0.4514	0.7315
                     4199	                     4200	               	       158	   243	   278	     0	\0.6502	0.5683	0.0000	0.5683	0.6502
                   120010	                   120012	               	       157	   169	   195	     0	\0.9290	0.8051	0.0000	0.8051	0.9290
                    13898	                    13628	               	       157	   225	   241	     0	\0.6978	0.6515	0.0000	0.6515	0.6978
                   417670	                   147030	               	       156	   335	   241	     0	\0.4657	0.6473	0.0000	0.4657	0.6473
                   127789	                   133913	               	       155	   228	   189	     0	\0.6798	0.8201	0.0000	0.6798	0.8201
                   214142	                   214141	               	       155	   263	   214	     0	\0.5894	0.7243	0.0000	0.5894	0.7243
                    69865	                    69864	               	       155	   271	   237	     0	\0.5720	0.6540	0.0000	0.5720	0.6540
                   413296	                   611801	               	       154	   229	   158	     0	\0.6725	0.9747	0.0000	0.6725	0.9747
                   123916	                    40803	               	       154	   161	   253	     0	\0.9565	0.6087	0.0000	0.6087	0.9565
                    69815	                    69814	               	       154	   185	   196	     0	\0.8324	0.7857	0.0000	0.7857	0.8324
                     3242	                     5916	               	       154	   366	   198	     0	\0.4208	0.7778	0.0000	0.4208	0.7778
                   190063	                   189795	               	       154	   212	   285	     0	\0.7264	0.5404	0.0000	0.5404	0.7264
                   499776	                   499777	               	       153	   156	   197	     0	\0.9808	0.7766	0.0000	0.7766	0.9808
                   450472	                   450473	               	       153	   163	   162	     0	\0.9387	0.9444	0.0000	0.9387	0.9444
                    51913	                    51915	               	       153	   250	   359	     0	\0.6120	0.4262	0.0000	0.4262	0.6120
                    29141	                   129972	               	       151	   266	   188	     0	\0.5677	0.8032	0.0000	0.5677	0.8032
                   186895	                   406624	               	       151	   228	   212	     0	\0.6623	0.7123	0.0000	0.6623	0.7123
                    79326	                    78565	               	       150	   159	   209	     0	\0.9434	0.7177	0.0000	0.7177	0.9434
                   436789	                    47339	               	       150	   187	   178	     0	\0.8021	0.8427	0.0000	0.8021	0.8427
                   172346	                   172345	               	       150	   194	   178	     0	\0.7732	0.8427	0.0000	0.7732	0.8427
                     2001	                    16187	               	       150	   213	   193	     0	\0.7042	0.7772	0.0000	0.7042	0.7772
                   326085	                   255981	               	       149	   167	   360	     0	\0.8922	0.4139	0.0000	0.4139	0.8922
                     2322	                     2321	               	       149	   169	   186	     0	\0.8817	0.8011	0.0000	0.8011	0.8817
                   226476	                   226475	               	       149	   240	   176	     0	\0.6208	0.8466	0.0000	0.6208	0.8466
                    70250	                    70251	               	       149	   233	   300	     0	\0.6395	0.4967	0.0000	0.4967	0.6395
                   176415	                   176414	               	       148	   338	   174	     0	\0.4379	0.8506	0.0000	0.4379	0.8506
                    13898	                    13628	         159834	       148	   225	   241	   249	\0.6578	0.6141	0.5944	0.5944	0.6578
                   193037	                    78667	               	       147	   184	   261	     0	\0.7989	0.5632	0.0000	0.5632	0.7989
                   107910	                   300881	               	       147	   193	   274	     0	\0.7617	0.5365	0.0000	0.5365	0.7617
                    51123	                    50998	               	       147	   219	   217	     0	\0.6712	0.6774	0.0000	0.6712	0.6774
                   232779	                   232780	               	       146	   171	   148	     0	\0.8538	0.9865	0.0000	0.8538	0.9865
                    21688	                    21686	               	       146	   318	   265	     0	\0.4591	0.5509	0.0000	0.4591	0.5509
                   137558	                   137557	               	       145	   182	   152	     0	\0.7967	0.9539	0.0000	0.7967	0.9539
                   431240	                   843278	               	       145	   192	   180	     0	\0.7552	0.8056	0.0000	0.7552	0.8056
                   431240	                   843278	         316314	       145	   192	   180	   353	\0.7552	0.8056	0.4108	0.4108	0.8056
                   216973	                   216972	               	       145	   220	   197	     0	\0.6591	0.7360	0.0000	0.6591	0.7360
                   105052	                     5295	               	       144	   192	   221	     0	\0.7500	0.6516	0.0000	0.6516	0.7500
                    40320	                    40319	               	       143	   144	   164	     0	\0.9931	0.8720	0.0000	0.8720	0.9931
                    72862	                    72864	               	       143	   151	   322	     0	\0.9470	0.4441	0.0000	0.4441	0.9470
                   306214	                   306215	               	       143	   159	   167	     0	\0.8994	0.8563	0.0000	0.8563	0.8994
                   256460	                   256459	               	       143	   237	   206	     0	\0.6034	0.6942	0.0000	0.6034	0.6942
                    82932	                    82931	               	       142	   345	   166	     0	\0.4116	0.8554	0.0000	0.4116	0.8554
                     7145	                     7146	               	       142	   169	   277	     0	\0.8402	0.5126	0.0000	0.5126	0.8402
                     7299	                     7706	               	       142	   209	   169	     0	\0.6794	0.8402	0.0000	0.6794	0.8402
                   370940	                   269220	               	       142	   217	   213	     0	\0.6544	0.6667	0.0000	0.6544	0.6667
                   119140	                   119139	               	       142	   340	   233	     0	\0.4176	0.6094	0.0000	0.4176	0.6094
                   233354	                   229534	               	       141	   142	   295	     0	\0.9930	0.4780	0.0000	0.4780	0.9930
                    95015	                    95017	               	       141	   236	   158	     0	\0.5975	0.8924	0.0000	0.5975	0.8924
                    15932	                     9271	               	       141	   181	   254	     0	\0.7790	0.5551	0.0000	0.5551	0.7790
                    71440	                    71992	               	       141	   195	   254	     0	\0.7231	0.5551	0.0000	0.5551	0.7231
                    78319	                   411776	               	       140	   274	   160	     0	\0.5109	0.8750	0.0000	0.5109	0.8750
                    69790	                    76200	               	       140	   286	   169	     0	\0.4895	0.8284	0.0000	0.4895	0.8284
                    73028	                   481061	               	       140	   247	   192	     0	\0.5668	0.7292	0.0000	0.5668	0.7292
                   116894	                   117181	               	       140	   267	   263	     0	\0.5243	0.5323	0.0000	0.5243	0.5323
                   255697	                   923212	               	       139	   324	   151	     0	\0.4290	0.9205	0.0000	0.4290	0.9205
                    85739	                   428551	               	       139	   314	   158	     0	\0.4427	0.8797	0.0000	0.4427	0.8797
                    35079	                    35077	               	       139	   276	   186	     0	\0.5036	0.7473	0.0000	0.5036	0.7473
                    73118	                    71007	               	       139	   285	   228	     0	\0.4877	0.6096	0.0000	0.4877	0.6096
                   993520	                   270372	               	       139	   254	   231	     0	\0.5472	0.6017	0.0000	0.5472	0.6017
                   397539	                   148511	               	       138	   215	   224	     0	\0.6419	0.6161	0.0000	0.6161	0.6419
                   299307	                   299306	               	       137	   142	   141	     0	\0.9648	0.9716	0.0000	0.9648	0.9716
                   299716	                   261757	               	       137	   164	   251	     0	\0.8354	0.5458	0.0000	0.5458	0.8354
                    70845	                    70846	               	       136	   211	   138	     0	\0.6445	0.9855	0.0000	0.6445	0.9855
                   232786	                   235343	               	       136	   193	   139	     0	\0.7047	0.9784	0.0000	0.7047	0.9784
                    70579	                   142554	               	       136	   163	   166	     0	\0.8344	0.8193	0.0000	0.8193	0.8344
                    21504	                    21505	               	       136	   227	   278	     0	\0.5991	0.4892	0.0000	0.4892	0.5991
                   276288	                   277443	               	       135	   226	   142	     0	\0.5973	0.9507	0.0000	0.5973	0.9507
                   227029	                   227034	               	       135	   147	   167	     0	\0.9184	0.8084	0.0000	0.8084	0.9184
                   122565	                   122564	               	       135	   248	   148	     0	\0.5444	0.9122	0.0000	0.5444	0.9122
                    12454	                    12586	               	       135	   159	   289	     0	\0.8491	0.4671	0.0000	0.4671	0.8491
                    33435	                    33434	               	       135	   223	   173	     0	\0.6054	0.7803	0.0000	0.6054	0.7803
                   188084	                   188086	               	       135	   190	   301	     0	\0.7105	0.4485	0.0000	0.4485	0.7105
                    10294	                    12046	               	       135	   252	   196	     0	\0.5357	0.6888	0.0000	0.5357	0.6888
                   217471	                   217660	               	       135	   210	   204	     0	\0.6429	0.6618	0.0000	0.6429	0.6618
                   270955	                   270956	               	       134	   140	   186	     0	\0.9571	0.7204	0.0000	0.7204	0.9571
                   108619	                   108618	               	       134	   272	   141	     0	\0.4926	0.9504	0.0000	0.4926	0.9504
                   147716	                   147718	               	       134	   150	   194	     0	\0.8933	0.6907	0.0000	0.6907	0.8933
                   217019	                   405987	               	       134	   229	   165	     0	\0.5852	0.8121	0.0000	0.5852	0.8121
                   217561	                    98294	               	       134	   178	   183	     0	\0.7528	0.7322	0.0000	0.7322	0.7528
                   100926	                   122554	               	       134	   180	   303	     0	\0.7444	0.4422	0.0000	0.4422	0.7444
                     4016	                     4015	               	       134	   212	   187	     0	\0.6321	0.7166	0.0000	0.6321	0.7166
                   188393	                   188395	               	       134	   223	   202	     0	\0.6009	0.6634	0.0000	0.6009	0.6634
                   529275	                   529276	               	       133	   268	   140	     0	\0.4963	0.9500	0.0000	0.4963	0.9500
                   608328	                   463228	               	       133	   171	   217	     0	\0.7778	0.6129	0.0000	0.6129	0.7778
                   187852	                   187867	               	       133	   321	   182	     0	\0.4143	0.7308	0.0000	0.4143	0.7308
                   404576	                     6589	               	       132	   140	   272	     0	\0.9429	0.4853	0.0000	0.4853	0.9429
                   428606	                   428608	               	       132	   180	   245	     0	\0.7333	0.5388	0.0000	0.5388	0.7333
                   514153	                   298165	               	       131	   156	   224	     0	\0.8397	0.5848	0.0000	0.5848	0.8397
                   625981	                   625980	               	       131	   285	   157	     0	\0.4596	0.8344	0.0000	0.4596	0.8344
                    16139	                    87658	               	       131	   238	   238	     0	\0.5504	0.5504	0.0000	0.5504	0.5504
                     5744	                     5742	               	       131	   249	   260	     0	\0.5261	0.5038	0.0000	0.5038	0.5261
                   214849	                   221458	               	       130	   313	   133	     0	\0.4153	0.9774	0.0000	0.4153	0.9774
                    72862	                    72863	               	       130	   151	   303	     0	\0.8609	0.4290	0.0000	0.4290	0.8609
                   111842	                   127692	               	       130	   251	   161	     0	\0.5179	0.8075	0.0000	0.5179	0.8075
                   515252	                   515250	               	       129	   133	   251	     0	\0.9699	0.5139	0.0000	0.5139	0.9699
                   130471	                   130470	               	       129	   172	   145	     0	\0.7500	0.8897	0.0000	0.7500	0.8897
                    69804	                    71770	               	       129	   315	   159	     0	\0.4095	0.8113	0.0000	0.4095	0.8113
                     9397	                     9396	               	       129	   257	   192	     0	\0.5019	0.6719	0.0000	0.5019	0.6719
                    92148	                    92145	               	       129	   211	   227	     0	\0.6114	0.5683	0.0000	0.5683	0.6114
                   117197	                   117196	               	       129	   211	   233	     0	\0.6114	0.5536	0.0000	0.5536	0.6114
                    12692	                    12693	               	       129	   235	   244	     0	\0.5489	0.5287	0.0000	0.5287	0.5489
                   100841	                   100838	               	       128	   205	   141	     0	\0.6244	0.9078	0.0000	0.6244	0.9078
                   325369	                   325371	               	       128	   143	   141	     0	\0.8951	0.9078	0.0000	0.8951	0.9078
                    72330	                    72331	               	       128	   169	   243	     0	\0.7574	0.5267	0.0000	0.5267	0.7574
                   144216	                   140849	               	       128	   218	   278	     0	\0.5872	0.4604	0.0000	0.4604	0.5872
                   104312	                   103010	               	       126	   135	   278	     0	\0.9333	0.4532	0.0000	0.4532	0.9333
                   109060	                    88902	               	       126	   135	   277	     0	\0.9333	0.4549	0.0000	0.4549	0.9333
                    98605	                   108849	               	       126	   181	   137	     0	\0.6961	0.9197	0.0000	0.6961	0.9197
                    83343	                    40575	               	       126	   147	   181	     0	\0.8571	0.6961	0.0000	0.6961	0.8571
                   618964	                   618966	               	       126	   199	   151	     0	\0.6332	0.8344	0.0000	0.6332	0.8344
                     5069	                   101673	               	       126	   154	   196	     0	\0.8182	0.6429	0.0000	0.6429	0.8182
                   191103	                    90649	               	       126	   218	   161	     0	\0.5780	0.7826	0.0000	0.5780	0.7826
                     6495	                     6496	               	       125	   128	   311	     0	\0.9766	0.4019	0.0000	0.4019	0.9766
                   237457	                   134543	               	       125	   128	   247	     0	\0.9766	0.5061	0.0000	0.5061	0.9766
                   312890	                   312889	               	       125	   177	   130	     0	\0.7062	0.9615	0.0000	0.7062	0.9615
                   167290	                   167287	               	       125	   145	   132	     0	\0.8621	0.9470	0.0000	0.8621	0.9470
                    15117	                   189130	               	       125	   296	   160	     0	\0.4223	0.7812	0.0000	0.4223	0.7812
                   188194	                   188190	               	       125	   243	   172	     0	\0.5144	0.7267	0.0000	0.5144	0.7267
                   248680	                   150683	               	       123	   125	   226	     0	\0.9840	0.5442	0.0000	0.5442	0.9840
                   335953	                   147489	               	       123	   146	   142	     0	\0.8425	0.8662	0.0000	0.8425	0.8662
                   532544	                   870634	               	       123	   183	   168	     0	\0.6721	0.7321	0.0000	0.6721	0.7321
                   101956	                   101953	               	       123	   210	   261	     0	\0.5857	0.4713	0.0000	0.4713	0.5857
                    74229	                    74227	               	       122	   159	   131	     0	\0.7673	0.9313	0.0000	0.7673	0.9313
                   123894	                   123895	               	       122	   136	   268	     0	\0.8971	0.4552	0.0000	0.4552	0.8971
                   147718	                   147717	               	       122	   194	   137	     0	\0.6289	0.8905	0.0000	0.6289	0.8905
                    72863	                   183460	               	       122	   303	   142	     0	\0.4026	0.8592	0.0000	0.4026	0.8592
                    86989	                    45491	               	       122	   147	   175	     0	\0.8299	0.6971	0.0000	0.6971	0.8299
                   167352	                   167353	               	       122	   170	   253	     0	\0.7176	0.4822	0.0000	0.4822	0.7176
                   113307	                   515250	               	       122	   186	   251	     0	\0.6559	0.4861	0.0000	0.4861	0.6559
                   200092	                   198873	               	       121	   122	   191	     0	\0.9918	0.6335	0.0000	0.6335	0.9918
                   257533	                  1790662	               	       121	   166	   122	     0	\0.7289	0.9918	0.0000	0.7289	0.9918
                    74232	                    74229	               	       121	   172	   159	     0	\0.7035	0.7610	0.0000	0.7035	0.7610
                     6010	                     6009	               	       120	   130	   178	     0	\0.9231	0.6742	0.0000	0.6742	0.9231
                   411857	                    71858	               	       120	   183	   138	     0	\0.6557	0.8696	0.0000	0.6557	0.8696
                     9853	                   182420	               	       120	   278	   141	     0	\0.4317	0.8511	0.0000	0.4317	0.8511
                   308139	                   180162	               	       120	   143	   242	     0	\0.8392	0.4959	0.0000	0.4959	0.8392
                    23368	                    23369	               	       119	   124	   206	     0	\0.9597	0.5777	0.0000	0.5777	0.9597
                    91816	                    64042	               	       119	   242	   139	     0	\0.4917	0.8561	0.0000	0.4917	0.8561
                   122104	                   122105	               	       119	   159	   142	     0	\0.7484	0.8380	0.0000	0.7484	0.8380
                   463017	                   100889	               	       119	   176	   259	     0	\0.6761	0.4595	0.0000	0.4595	0.6761
                   223136	                   223135	               	       118	   129	   160	     0	\0.9147	0.7375	0.0000	0.7375	0.9147
                   161276	                   161277	               	       118	   132	   190	     0	\0.8939	0.6211	0.0000	0.6211	0.8939
                   101136	                   101137	               	       118	   193	   150	     0	\0.6114	0.7867	0.0000	0.6114	0.7867
                   113307	                   652146	               	       118	   186	   169	     0	\0.6344	0.6982	0.0000	0.6344	0.6982
                     3906	                     3907	               	       117	   145	   195	     0	\0.8069	0.6000	0.0000	0.6000	0.8069
                    50007	                   109634	               	       117	   195	   241	     0	\0.6000	0.4855	0.0000	0.4855	0.6000
                    74464	                    83112	               	       117	   230	   196	     0	\0.5087	0.5969	0.0000	0.5087	0.5969
                   100841	                   100840	               	       116	   205	   136	     0	\0.5659	0.8529	0.0000	0.5659	0.8529
                    32126	                    32929	               	       116	   226	   138	     0	\0.5133	0.8406	0.0000	0.5133	0.8406
                   222502	                   222503	               	       116	   138	   199	     0	\0.8406	0.5829	0.0000	0.5829	0.8406
                    73028	                   481060	               	       116	   247	   141	     0	\0.4696	0.8227	0.0000	0.4696	0.8227
                   481061	                   481060	               	       116	   192	   141	     0	\0.6042	0.8227	0.0000	0.6042	0.8227
                   481061	                    73028	         481060	       116	   192	   247	   141	\0.6042	0.4696	0.8227	0.4696	0.8227
                   204333	                   204334	               	       116	   148	   205	     0	\0.7838	0.5659	0.0000	0.5659	0.7838
                   783160	                   625981	               	       116	   153	   285	     0	\0.7582	0.4070	0.0000	0.4070	0.7582
                    51099	                    99146	               	       116	   226	   156	     0	\0.5133	0.7436	0.0000	0.5133	0.7436
                   204332	                   204334	               	       116	   159	   205	     0	\0.7296	0.5659	0.0000	0.5659	0.7296
                   113307	                   515250	         652146	       116	   186	   251	   169	\0.6237	0.4622	0.6864	0.4622	0.6864
                   216068	                   216382	               	       116	   239	   170	     0	\0.4854	0.6824	0.0000	0.4854	0.6824
                   335499	                   379086	               	       116	   205	   172	     0	\0.5659	0.6744	0.0000	0.5659	0.6744
                   232188	                   235577	               	       116	   248	   200	     0	\0.4677	0.5800	0.0000	0.4677	0.5800
                    11525	                    11526	               	       115	   151	   125	     0	\0.7616	0.9200	0.0000	0.7616	0.9200
                   150876	                  1033834	               	       115	   196	   132	     0	\0.5867	0.8712	0.0000	0.5867	0.8712
                    15681	                     5665	               	       115	   141	   270	     0	\0.8156	0.4259	0.0000	0.4259	0.8156
                    98199	                    65381	               	       115	   155	   171	     0	\0.7419	0.6725	0.0000	0.6725	0.7419
                    23478	                     7357	               	       115	   165	   245	     0	\0.6970	0.4694	0.0000	0.4694	0.6970
                    95499	                    95497	               	       114	   134	   116	     0	\0.8507	0.9828	0.0000	0.8507	0.9828
                   780507	                   437610	               	       114	   117	   246	     0	\0.9744	0.4634	0.0000	0.4634	0.9744
                    21814	                    21816	               	       114	   132	   120	     0	\0.8636	0.9500	0.0000	0.8636	0.9500
                   121530	                   121529	               	       114	   146	   120	     0	\0.7808	0.9500	0.0000	0.7808	0.9500
                     9910	                   610633	               	       114	   283	   128	     0	\0.4028	0.8906	0.0000	0.4028	0.8906
                    68045	                    16726	               	       114	   130	   194	     0	\0.8769	0.5876	0.0000	0.5876	0.8769
                    51999	                    51564	               	       114	   160	   165	     0	\0.7125	0.6909	0.0000	0.6909	0.7125
                   658407	                   773568	               	       114	   161	   257	     0	\0.7081	0.4436	0.0000	0.4436	0.7081
                   659969	                   629493	               	       113	   120	   128	     0	\0.9417	0.8828	0.0000	0.8828	0.9417
                     1592	                    23675	               	       113	   241	   141	     0	\0.4689	0.8014	0.0000	0.4689	0.8014
                   270496	                   839211	               	       113	   186	   141	     0	\0.6075	0.8014	0.0000	0.6075	0.8014
                   276179	                   276178	               	       113	   151	   142	     0	\0.7483	0.7958	0.0000	0.7483	0.7958
                    69815	                    69813	               	       113	   185	   144	     0	\0.6108	0.7847	0.0000	0.6108	0.7847
                    69813	                    69814	               	       113	   144	   196	     0	\0.7847	0.5765	0.0000	0.5765	0.7847
                    11519	                     7636	               	       113	   166	   230	     0	\0.6807	0.4913	0.0000	0.4913	0.6807
                   247298	                   104584	               	       113	   189	   190	     0	\0.5979	0.5947	0.0000	0.5947	0.5979
                    86990	                    86989	               	       112	   117	   147	     0	\0.9573	0.7619	0.0000	0.7619	0.9573
