                  authorA	                  authorB	        authorC	Sup(A,B,C)	Sup(A)	Sup(B)	Sup(C)	Con(A)	Con(B)	Con(C)	MinCon	MaxCon
                   119078	                    98986	               	       477	   483	   923	     0	\0.9876	0.5168	0.0000	0.5168	0.9876
                   391613	                   391612	               	       433	   651	   675	     0	\0.6651	0.6415	0.0000	0.6415	0.6651
                    12672	                    12673	               	       398	   582	   653	     0	\0.6838	0.6095	0.0000	0.6095	0.6838
                    71230	                    70255	               	       374	   575	   572	     0	\0.6504	0.6538	0.0000	0.6504	0.6538
                     1193	                   161304	               	       365	   554	   464	     0	\0.6588	0.7866	0.0000	0.6588	0.7866
                    77781	                    77780	               	       351	   764	   457	     0	\0.4594	0.7681	0.0000	0.4594	0.7681
                    11359	                    11360	               	       331	   424	   488	     0	\0.7807	0.6783	0.0000	0.6783	0.7807
                     1908	                     1907	               	       331	   679	   527	     0	\0.4875	0.6281	0.0000	0.4875	0.6281
                    34915	                    34916	               	       315	   406	   331	     0	\0.7759	0.9517	0.0000	0.7759	0.9517
                   255697	                   138315	               	       303	   324	   746	     0	\0.9352	0.4062	0.0000	0.4062	0.9352
                   147482	                   147483	               	       300	   399	   379	     0	\0.7519	0.7916	0.0000	0.7519	0.7916
                   708180	                   282894	               	       299	   306	   471	     0	\0.9771	0.6348	0.0000	0.6348	0.9771
                   140848	                   140846	               	       290	   384	   365	     0	\0.7552	0.7945	0.0000	0.7552	0.7945
                    11104	                    11103	               	       284	   288	   291	     0	\0.9861	0.9759	0.0000	0.9759	0.9861
                    23682	                    23681	               	       266	   303	   507	     0	\0.8779	0.5247	0.0000	0.5247	0.8779
                    72864	                    72863	               	       259	   322	   303	     0	\0.8043	0.8548	0.0000	0.8043	0.8548
                    13865	                    13809	               	       255	   357	   534	     0	\0.7143	0.4775	0.0000	0.4775	0.7143
                   437912	                   432717	               	       246	   253	   336	     0	\0.9723	0.7321	0.0000	0.7321	0.9723
                    52089	                    69930	               	       240	   291	   413	     0	\0.8247	0.5811	0.0000	0.5811	0.8247
                    14879	                    14878	               	       238	   574	   389	     0	\0.4146	0.6118	0.0000	0.4146	0.6118
                     3385	                     3405	               	       237	   321	   268	     0	\0.7383	0.8843	0.0000	0.7383	0.8843
                    34577	                    34578	               	       235	   379	   371	     0	\0.6201	0.6334	0.0000	0.6201	0.6334
                    69884	                     1650	               	       231	   291	   414	     0	\0.7938	0.5580	0.0000	0.5580	0.7938
                    70988	                    70989	               	       229	   336	   393	     0	\0.6815	0.5827	0.0000	0.5827	0.6815
                    67239	                    67240	               	       224	   247	   251	     0	\0.9069	0.8924	0.0000	0.8924	0.9069
                    89660	                    89659	               	       223	   230	   228	     0	\0.9696	0.9781	0.0000	0.9696	0.9781
                   209429	                   203303	               	       219	   253	   257	     0	\0.8656	0.8521	0.0000	0.8521	0.8656
                   203303	                   203302	               	       218	   257	   233	     0	\0.8482	0.9356	0.0000	0.8482	0.9356
                   220452	                    86935	               	       217	   267	   421	     0	\0.8127	0.5154	0.0000	0.5154	0.8127
                    67235	                    67240	               	       216	   246	   251	     0	\0.8780	0.8606	0.0000	0.8606	0.8780
                    75788	                    75789	               	       216	   357	   385	     0	\0.6050	0.5610	0.0000	0.5610	0.6050
